Cases,Events,ERP_Mapping_s,ERP_Discovery_s,ERP_Total_s,PM4PY_Conversion_s,PM4PY_Discovery_s,PM4PY_Total_s,Speedup
100,795,0.0787,0.0015,0.0801,0.0076,0.0003,0.0078,0.1
250,1986,0.1994,0.0035,0.2028,0.0145,0.0006,0.015,0.07
500,3979,0.3975,0.0077,0.4052,0.026,0.0016,0.0276,0.07
1000,7937,0.7772,0.0153,0.7925,0.1325,0.0031,0.1356,0.17
2500,19832,1.9377,0.0337,1.9714,0.1301,0.006,0.136,0.07
5000,39700,3.7829,0.0646,3.8475,0.2166,0.1039,0.3205,0.08
7500,59562,5.4698,0.0979,5.5677,0.4229,0.1224,0.5453,0.1
10000,79442,7.656,0.1411,7.797,0.6228,0.0191,0.6419,0.08
